CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,237,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,CHEQ,0.0736519703,-867205.399044688,-63871.38629148,666604.757121074,49096.753771046,-200600.641923614,-14774.632520435
osmosis,osmosis-dex,2023-11-29,2,ibc/AA1C80225BCA7B32ED1FC6ABF8B8E899BEB48ECDB4B417FD69873C6D715F97E7,ASVT,0.0007087447185,-489.021459,-0.3465913763,189.51097,0.1343148991,-299.510489,-0.2122764772
osmosis,osmosis-dex,2023-11-29,120,ibc/1E43D59E565D41FB4E54CA639B838FFD5BCFC20003D330A56CB1396231AA1CBA,SOL,52.623843411,-152.46219007,-8023.146416398,12.84988812,676.21050028,-139.61230195,-7346.935916118
osmosis,osmosis-dex,2023-11-29,2,ibc/1E09CB0F506ACF12FDE4683FB6B34DA62FB4BE122641E0D93AAF98A87675676C,TGD,0.00730757099,-4856.139,-35.486580482,0,0,-4856.139,-35.486580482
osmosis,osmosis-dex,2023-11-29,60,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,GRAV,0.002791645866,-1041161.651707,-2906.554620778,609406.250349,1701.246439474,-431755.401358,-1205.308181305
osmosis,osmosis-dex,2023-11-29,228,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,BTSG,0.009102674766,-364817.111861,-3320.811518287,394972.946586,3595.310274081,30155.834725,274.498755794
osmosis,osmosis-dex,2023-11-29,36752,uosmo,OSMO,0.6653700513,-19772972.226183,-13156343.5442345,20653504.455514,13742223.3188245,880532.229330998,585879.774589944
osmosis,osmosis-dex,2023-11-29,2,ibc/E750D31033DC1CF4A044C3AA0A8117401316DC918FBEBC4E3D34F91B09D5F54C,NRIDE,0.004548819868,-31916.33211,-145.181645616,0,0,-31916.33211,-145.181645616
osmosis,osmosis-dex,2023-11-29,420,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,UMEE,0.003279393497,-9900553.776845,-32467.81167286,6603127.996996,21654.255013458,-3297425.779849,-10813.556659402
osmosis,osmosis-dex,2023-11-29,20,ibc/F3166F4D31D6BA1EC6C9F5536F5DDDD4CC93DBA430F7419E7CDC41C497944A65,COREUM,0.09197640415,-18219.403231,-1675.755194876,0,0,-18219.403231,-1675.755194876
osmosis,osmosis-dex,2023-11-29,4,ibc/80825E8F04B12D914ABEADB1F4D39C04755B12C8402F6876EE3168450C0A90BB,LAMB,0.001862969476,-44020.820425709,-82.009444772,0,0,-44020.820425709,-82.009444772
osmosis,osmosis-dex,2023-11-29,8,ibc/5A7C219BA5F7582B99629BA3B2A01A61BFDA0F6FD1FE95B5366F7334C4BC0580,CRE,0.009702052578,-4123.104053,-40.002572307,0,0,-4123.104053,-40.002572307
osmosis,osmosis-dex,2023-11-29,25,ibc/75345531D87BD90BF108BE7240BD721CB2CB0A1F16D4EBA71B09EC3C43E15C8F,nBTC,1890.441050435,-0.01928146532,-36.450473551,0.005622281239,10.628591251,-0.01365918408,-25.821882301
osmosis,osmosis-dex,2023-11-29,36,ibc/56D7C03B8F6A07AD322EEE1BEF3AE996E09D1C1E34C27CF37E0D4A0AC5972516,PICA,0.00145570397,-6867187.55461004,-9996.592187252,0,0,-6867187.55461004,-9996.592187252
osmosis,osmosis-dex,2023-11-29,10,ibc/C5579A9595790017C600DD726276D978B9BF314CF82406CE342720A9C7911A01,stEVMOS,0.1077503084,-6961.369929481,-750.089756509,0,0,-6961.369929481,-750.089756509
osmosis,osmosis-dex,2023-11-29,75,ibc/3BCCC93AD5DF58D11A6F8A05FA8BC801CBA0BA61A981F57E91B8B598BF8061CB,MED,0.01178076858,-1052813.764559,-12402.955314709,906950.165616,10684.570011787,-145863.598943,-1718.385302923
osmosis,osmosis-dex,2023-11-29,455,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,STARS,0.01306000434,-2803709.740765,-36616.461391154,1649730.468823,21545.487087756,-1153979.271942,-15070.974303398
osmosis,osmosis-dex,2023-11-29,58,ibc/297C64CC42B5A8D8F82FE2EBE208A6FE8F94B86037FA28C4529A23701C228F7A,NETA,6.425959512,-112.90297,-725.509914002,172.516502,1108.584057,59.613532,383.074142998
osmosis,osmosis-dex,2023-11-29,371,ibc/1DC495FCEFDA068A3820F903EDBD78B942FBD204D7E93D3BA2B432E9669D1A59,NGM,0.01031237714,-558792.99012,-5762.484057475,554666.581603,5719.930976613,-4126.408517,-42.553080862
osmosis,osmosis-dex,2023-11-29,45,ibc/65381C5F3FD21442283D56925E62EA524DED8B6927F0FF94E21E0020954C40B5,WETH.grv,2008.750475817,-2.171748024,-4362.499876846,0.5361059388,1076.903059642,-1.635642085,-3285.596817204
osmosis,osmosis-dex,2023-11-29,722,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,DAI,1.000048217,-105149.729005889,-105154.798997211,36573.25406624,36575.017514253,-68576.47493965,-68579.781482958
